GENEID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
ENSG00000258745.1,4.742692449,0.710436722,0.129012051,5.506746972,3.66E-08,3.04E-06,RP11-218E20.5
ENSG00000105088.4,826.5691505,-0.343814425,0.062459427,-5.504604233,3.70E-08,3.07E-06,OLFM2
ENSG00000180672.4,56.57226138,0.348232431,0.063266432,5.504221105,3.71E-08,3.07E-06,AC007362.1
ENSG00000161542.12,887.8371293,0.134975786,0.024527346,5.503073495,3.73E-08,3.08E-06,PRPSAP1
ENSG00000260029.2,16.37843651,-0.520571945,0.094629063,-5.501184592,3.77E-08,3.11E-06,RP11-401P9.1
ENSG00000158517.9,12.14789634,0.712290467,0.12953487,5.498831852,3.82E-08,3.15E-06,NCF1
ENSG00000117411.12,653.0311145,-0.277935158,0.050578254,-5.495151243,3.90E-08,3.21E-06,B4GALT2
ENSG00000121764.7,17.46323978,-0.667878561,0.121638267,-5.490694473,4.00E-08,3.28E-06,HCRTR1
ENSG00000244509.3,27.41556991,0.503554476,0.091815046,5.484444008,4.15E-08,3.39E-06,APOBEC3C
ENSG00000259176.1,7.979889752,0.915852322,0.16700746,5.483900668,4.16E-08,3.39E-06,RP11-69H14.6
ENSG00000070423.13,311.7391977,-0.247502273,0.045158577,-5.480736759,4.24E-08,3.44E-06,RNF126
ENSG00000175538.6,48.50247385,0.381421544,0.069585856,5.481308532,4.22E-08,3.44E-06,KCNE3
ENSG00000076716.7,253.446763,0.266177156,0.048592684,5.477720832,4.31E-08,3.49E-06,GPC4
ENSG00000261829.1,57.06696694,0.426351622,0.07787663,5.4747056,4.38E-08,3.54E-06,RP11-223I10.1
ENSG00000144230.12,184.8085881,-0.568436734,0.103845248,-5.473882971,4.40E-08,3.55E-06,GPR17
ENSG00000240738.1,4.902609612,0.851380894,0.155634693,5.470379879,4.49E-08,3.62E-06,RP1-273G13.1
ENSG00000161270.15,19.53935083,-0.423998585,0.077606608,-5.463434021,4.67E-08,3.75E-06,NPHS1
ENSG00000167470.8,394.7247792,-0.495651912,0.090715065,-5.463832384,4.66E-08,3.75E-06,MIDN
ENSG00000176022.3,258.5867156,-0.220861903,0.040437428,-5.461818704,4.71E-08,3.77E-06,B3GALT6
ENSG00000238490.1,7.744971361,1.501367773,0.274900531,5.461494635,4.72E-08,3.77E-06,Y_RNA
ENSG00000017373.11,1218.194196,-0.38614399,0.070731324,-5.459306698,4.78E-08,3.81E-06,SRCIN1
ENSG00000269927.1,4.147161149,0.865042876,0.158542302,5.456227565,4.86E-08,3.87E-06,RP6-91H8.3
ENSG00000212695.4,43.2714492,-0.416597926,0.076447325,-5.44947682,5.05E-08,4.01E-06,RP11-134K1.2
ENSG00000101336.8,108.383084,0.591425865,0.108597032,5.446059195,5.15E-08,4.08E-06,HCK
ENSG00000183549.6,68.84959551,0.474711894,0.087211409,5.443231562,5.23E-08,4.14E-06,ACSM5
ENSG00000121933.13,245.2236776,0.626842282,0.115227746,5.440029013,5.33E-08,4.20E-06,ADORA3
ENSG00000129675.11,1013.197333,0.226274896,0.041597029,5.439688866,5.34E-08,4.20E-06,ARHGEF6
